xxx-2	xxx-2
应变	标准载荷
%	MPa
5.991875529	142.518111
6.002045274	142.6236691
6.012054682	142.7305773
6.022060513	142.8399779
6.032391787	142.937828
6.042628884	143.0344203
6.052811742	143.1295011
6.063114405	143.2293359
6.082963943	143.4293517
6.092978716	143.5233709
6.112482548	143.718898
6.122584343	143.8203713
6.142116189	144.0254411
6.15224123	144.1258413
6.162461638	144.2204951
6.17251277	144.3209069
6.182991266	144.4166223
6.193074584	144.5144032
6.212960482	144.7088456
6.23233974	144.9014303
6.252055764	145.0960113
6.262102127	145.1973115
6.27256155	145.2933385
6.292000413	145.4959043
6.311896443	145.696924
6.331904531	145.8865201
6.342206001	145.9850856
6.352388263	146.0766816
6.362922788	146.1731817
6.373072267	146.2701779
6.383458972	146.3599392
6.403267384	146.5447236
6.413303018	146.6406698
6.423447728	146.7394084
6.442751288	146.93107
6.462134123	147.1350667
6.482201815	147.3407942
6.502033472	147.5401638
6.512289643	147.6370215
6.532559395	147.8287408
6.542701125	147.9232792
6.562476158	148.1100829
6.572852135	148.2062945
6.592718363	148.3842248
6.61269486	148.5621666
6.622776985	148.6455238
6.642297506	148.8296966
6.661781669	149.0259391
6.680981517	149.2167353
6.691048145	149.3107776
6.701640487	149.4026851
6.712031364	149.4988967
6.731829643	149.6955316
6.742112637	149.7933124
6.76194787	149.9723043
6.782007813	150.1539385
6.802179813	150.3527889
6.822256446	150.5425004
6.842026114	150.7288771
6.862077117	150.91455
6.872317791	151.0177657
6.892226934	151.203854
6.902346611	151.2974808
6.922465563	151.490054
6.932516098	151.5861733
6.952860355	151.7681537
6.972712874	151.942403
6.99210465	152.1220641
7.011950016	152.3036868
7.031590939	152.4802555
7.041910291	152.5732131
7.051958442	152.6674631
7.062286735	152.7545127
7.072934508	152.8413432
7.083191276	152.9335623
7.103256583	153.1135695
7.122927904	153.2846457
7.143011093	153.4579488
7.153218389	153.5452639
7.163468599	153.6401946
7.182756662	153.819348
7.202064991	153.9988476
7.222037315	154.1772971
7.241933942	154.3644931
7.252597213	154.4553737
7.273007631	154.6336848
7.283059955	154.7167881
7.303195596	154.8885797
7.313624024	154.975237
7.332935333	155.1397013
7.352339029	155.3216356
7.362352014	155.408316
7.381775379	155.5960313
7.391994596	155.6819501
7.411468625	155.8582073
7.422012091	155.9459839
7.442142963	156.1203717
7.462238669	156.2918171
7.482433319	156.4556583
7.492605448	156.542408
